base_price,competitor_price,inventory,inventory_ratio,day_of_week,is_weekend,month,is_holiday,demand_rolling_7d,demand_rolling_30d,demand_momentum,is_low_stock,is_critical_stock,price_gap,price_gap_pct,is_cheaper,is_overpriced,competitor_price_trend,competitor_trending_up,hour,quarter,is_peak_hour,is_month_end,price_elasticity,category_Books,category_Clothing,category_Electronics,category_Furniture,category_Groceries,season_autumn,season_spring,season_summer,season_winter,stock_tier_critical,stock_tier_low,stock_tier_medium,stock_tier_high,demand
856.43,923.05,234,0.468,5,1,4,0,90.71,93.67,-2.96,0,0,-66.62,-7.22,1,0,2783.45,0,12,2,1,0,-1.0363,0,0,0,0,1,0,1,0,0,0,0,1,0,127
4036.09,3547.32,194,0.388,5,1,4,0,92.43,95.75,-3.32,0,0,488.77,13.78,0,0,2784.29,1,17,2,0,0,-0.0827,0,0,0,1,0,0,1,0,0,0,0,1,0,88
293.94,324.54,342,0.684,6,1,4,0,92.43,95.29,-2.86,0,0,-30.6,-9.43,1,0,2900.81,0,20,2,1,0,-0.5025,1,0,0,0,0,0,1,0,0,0,0,0,1,129
2005.69,1910.18,194,0.388,2,0,4,0,99.0,97.17,1.83,0,0,95.51,5.0,0,0,2547.8,0,9,2,0,0,-0.0439,0,0,0,1,0,0,1,0,0,0,0,1,0,96
854.27,946.05,91,0.182,0,0,5,0,101.86,97.11,4.75,1,0,-91.78,-9.7,1,0,2246.19,0,13,2,1,0,-0.0726,0,0,0,0,1,0,1,0,0,0,1,0,0,100
3224.01,3594.61,3,0.006,0,0,5,0,104.86,97.25,7.61,1,1,-370.6,-10.31,1,0,1788.99,1,5,2,0,1,-0.0216,0,0,0,1,0,0,1,0,0,1,0,0,0,94
4414.16,4788.71,249,0.498,3,0,6,0,101.0,97.1,3.9,0,0,-374.55,-7.82,1,0,2093.05,1,3,2,0,0,-0.4611,0,0,0,1,0,0,0,1,0,0,0,1,0,78
1158.35,1334.75,375,0.75,3,0,6,0,101.71,96.23,5.48,0,0,-176.4,-13.22,1,0,2290.64,0,18,2,1,0,-0.2607,0,1,0,0,0,0,0,1,0,0,0,0,1,93
2878.67,2951.59,189,0.378,4,0,6,0,96.86,96.09,0.77,0,0,-72.92,-2.47,1,0,2349.45,1,3,2,0,0,-0.0362,0,0,0,0,1,0,0,1,0,0,0,1,0,88
4705.41,5435.64,277,0.554,3,0,7,0,96.86,95.75,1.11,0,0,-730.23,-13.43,1,0,2264.35,1,10,3,1,0,-0.5014,0,0,0,1,0,0,0,1,0,0,0,0,1,60
785.3,683.98,166,0.332,3,0,7,0,87.0,94.32,-7.32,0,0,101.32,14.81,0,0,2994.5,0,4,3,0,0,-0.8402,0,0,0,1,0,0,0,1,0,0,0,1,0,102
312.71,252.17,61,0.122,3,0,8,0,87.86,94.62,-6.76,1,0,60.54,24.01,0,1,2819.33,0,9,3,0,0,-0.2118,0,0,0,1,0,0,0,1,0,0,1,0,0,115
4045.31,4612.27,133,0.266,0,0,8,0,90.0,95.37,-5.37,0,0,-566.96,-12.29,1,0,2720.21,1,17,3,0,1,-0.0211,0,0,0,1,0,0,0,1,0,0,0,1,0,86
3997.45,3780.74,82,0.164,5,1,10,0,88.86,95.04,-6.18,1,0,216.71,5.73,0,0,2865.59,1,13,4,1,0,10.0,0,1,0,0,0,1,0,0,0,0,1,0,0,74
2229.8,1974.27,121,0.242,5,1,10,0,88.29,94.31,-6.02,1,0,255.53,12.94,0,0,2721.59,0,22,4,0,0,-0.9474,0,0,1,0,0,1,0,0,0,0,1,0,0,105
3641.55,3177.42,68,0.136,0,0,10,0,90.0,94.67,-4.67,1,0,464.13,14.61,0,0,2812.95,1,17,4,0,0,-0.2557,0,0,1,0,0,1,0,0,0,0,1,0,0,88
2784.43,3160.79,141,0.282,6,1,10,0,90.0,94.1,-4.1,0,0,-376.36,-11.91,1,0,2845.21,1,8,4,0,0,-1.207,0,1,0,0,0,1,0,0,0,0,0,1,0,113
3347.61,3832.73,327,0.654,0,0,10,0,97.57,94.77,2.8,0,0,-485.12,-12.66,1,0,2520.23,1,14,4,0,0,-1.4001,0,0,0,1,0,1,0,0,0,0,0,0,1,81
2276.19,1906.14,23,0.046,2,0,11,0,94.57,94.27,0.3,1,1,370.05,19.41,0,0,2970.06,0,8,4,0,0,-1.0029,1,0,0,0,0,1,0,0,0,1,0,0,0,107
109.97,129.62,56,0.112,4,0,11,0,93.43,94.93,-1.5,1,0,-19.65,-15.16,1,0,3206.34,0,16,4,0,0,-0.3437,0,0,0,1,0,1,0,0,0,0,1,0,0,142
341.08,283.47,479,0.958,0,0,11,0,101.43,97.2,4.23,0,0,57.61,20.32,0,1,2565.96,0,18,4,1,0,-0.1474,0,0,1,0,0,1,0,0,0,0,0,0,1,98
3605.3,2966.0,324,0.648,2,0,11,0,104.86,95.93,8.93,0,0,639.3,21.55,0,1,2066.35,1,18,4,1,0,-0.0171,0,0,0,0,1,1,0,0,0,0,0,0,1,82
3298.07,3088.31,450,0.9,0,0,11,0,101.57,95.6,5.97,0,0,209.76,6.79,0,0,2208.02,1,9,4,0,0,1.288,0,0,1,0,0,1,0,0,0,0,0,0,1,73
636.78,738.02,334,0.668,5,1,12,0,99.43,95.13,4.3,0,0,-101.24,-13.72,1,0,2195.29,0,17,4,0,0,-0.8488,0,0,0,0,1,0,0,0,1,0,0,0,1,123
700.66,704.75,25,0.05,4,0,12,0,100.86,95.4,5.46,1,1,-4.09,-0.58,1,0,1849.18,0,2,4,0,0,-1.1346,0,0,0,1,0,0,0,0,1,1,0,0,0,109
2964.9,2479.32,459,0.918,2,0,1,0,104.86,96.1,8.76,0,0,485.58,19.59,0,0,1402.33,1,8,1,0,0,-0.1107,0,1,0,0,0,0,0,0,1,0,0,0,1,70
2289.73,2177.16,256,0.512,2,0,1,0,99.57,95.67,3.9,0,0,112.57,5.17,0,0,1484.21,1,10,1,1,0,-1.6938,0,0,0,1,0,0,0,0,1,0,0,0,1,97
938.91,870.44,365,0.73,0,0,1,0,93.14,96.37,-3.23,0,0,68.47,7.87,0,0,1776.72,0,12,1,1,1,-0.1747,0,0,1,0,0,0,0,0,1,0,0,0,1,107
1017.74,1102.75,24,0.048,6,1,2,0,94.43,97.3,-2.87,1,1,-85.01,-7.71,1,0,1860.57,0,2,1,0,0,2.0036,0,0,1,0,0,0,0,0,1,1,0,0,0,125
783.68,825.65,131,0.262,3,0,2,0,100.57,97.43,3.14,0,0,-41.97,-5.08,1,0,1594.39,0,19,1,1,0,0.3131,0,1,0,0,0,0,0,0,1,0,0,1,0,116
4184.33,4793.35,17,0.034,2,0,1,0,95.0,95.0,0.0,1,1,-609.02,-12.71,1,0,4355.12,1,1,1,0,0,4.2929,0,1,0,0,0,0,0,0,1,1,0,0,0,84
994.2,948.24,278,0.556,1,0,1,0,89.5,89.5,0.0,0,0,45.96,4.85,0,0,4574.24,0,2,1,0,0,-0.0312,0,0,0,1,0,0,0,0,1,0,0,0,1,86
1547.39,1326.42,98,0.196,3,0,1,0,88.33,88.33,0.0,1,0,220.97,16.66,0,0,3365.57,0,17,1,0,0,0.5224,0,0,0,0,1,0,0,0,1,0,1,0,0,111
4450.76,4749.01,224,0.448,0,0,1,0,94.0,94.0,0.0,0,0,-298.25,-6.28,1,0,2855.78,1,14,1,0,0,-0.2161,0,0,0,0,1,0,0,0,1,0,0,1,0,66
1523.71,1353.23,236,0.472,1,0,2,0,88.4,88.4,0.0,0,0,170.48,12.6,0,0,3234.43,0,20,1,1,1,-0.622,0,0,1,0,0,0,0,0,1,0,0,1,0,93
761.74,881.99,285,0.57,4,0,3,0,89.17,89.17,0.0,0,0,-120.25,-13.63,1,0,2920.9,0,12,1,1,0,-0.258,0,1,0,0,0,0,1,0,0,0,0,0,1,105
1036.25,1128.53,195,0.39,5,1,3,0,91.43,91.43,0.0,0,0,-92.28,-8.18,1,0,2629.62,0,1,1,0,0,-0.0529,0,1,0,0,0,0,1,0,0,0,0,1,0,103
4959.78,5808.4,442,0.884,3,0,3,0,92.57,92.88,-0.31,0,0,-848.62,-14.61,1,0,2168.68,1,20,1,1,1,-0.0974,0,0,0,1,0,0,1,0,0,0,0,0,1,65
2726.8,3033.63,135,0.27,0,0,4,0,89.86,89.78,0.08,0,0,-306.83,-10.11,1,0,2313.69,1,10,2,1,0,-0.7518,0,0,0,1,0,0,1,0,0,0,0,1,0,87
4864.91,4357.35,129,0.258,4,0,4,0,90.0,89.5,0.5,0,0,507.56,11.65,0,0,2611.6,1,0,2,0,0,-0.3665,0,1,0,0,0,0,1,0,0,0,0,1,0,62
226.77,204.07,297,0.594,6,1,4,1,83.0,87.0,-4.0,0,0,22.7,11.12,0,0,3044.59,0,7,2,0,0,-1.0827,0,0,1,0,0,0,1,0,0,0,0,0,1,126
3532.25,3181.93,382,0.764,1,0,4,0,91.57,90.25,1.32,0,0,350.32,11.01,0,0,2395.31,1,16,2,0,0,-0.024,1,0,0,0,0,0,1,0,0,0,0,0,1,82
2779.12,3088.82,0,0.0,5,1,4,0,90.0,89.62,0.38,1,1,-309.7,-10.03,1,0,2656.56,1,21,2,1,1,-1.3155,0,0,0,1,0,0,1,0,0,1,0,0,0,105
67.57,57.9,467,0.934,1,0,5,0,90.0,90.71,-0.71,0,0,9.67,16.7,0,0,2971.82,0,3,2,0,0,0.0879,1,0,0,0,0,0,1,0,0,0,0,0,1,96
2841.27,2680.88,306,0.612,6,1,5,0,89.0,91.07,-2.07,0,0,160.39,5.98,0,0,2818.87,0,11,2,1,0,0.0028,0,0,0,1,0,0,1,0,0,0,0,0,1,107
332.18,326.18,354,0.708,4,0,5,0,95.0,92.06,2.94,0,0,6.0,1.84,0,0,2372.08,0,6,2,0,0,0.0106,1,0,0,0,0,0,1,0,0,0,0,0,1,106
2280.46,2540.68,46,0.092,4,0,6,0,97.71,92.88,4.83,1,1,-260.22,-10.24,1,0,1985.3,1,23,2,0,0,0.0016,1,0,0,0,0,0,0,1,0,1,0,0,0,107
1929.15,1622.61,349,0.698,5,1,6,0,104.14,93.67,10.47,0,0,306.54,18.89,0,0,1725.78,0,18,2,1,0,0.364,0,0,0,1,0,0,0,1,0,0,0,0,1,101
471.81,439.05,469,0.938,6,1,6,0,100.57,94.05,6.52,0,0,32.76,7.46,0,0,1928.43,0,1,2,0,0,-0.1311,0,0,1,0,0,0,0,1,0,0,0,0,1,111
1554.11,1512.62,242,0.484,6,1,6,0,104.71,94.9,9.81,0,0,41.49,2.74,0,0,1536.59,0,17,2,0,0,0.0511,0,0,0,1,0,0,0,1,0,0,0,1,0,124
4899.62,5772.21,73,0.146,6,1,7,0,107.43,96.29,11.14,1,0,-872.59,-15.12,1,0,1311.42,1,5,3,0,0,-0.1461,0,0,0,1,0,0,0,1,0,0,1,0,0,85
2138.75,1711.29,78,0.156,2,0,7,0,105.86,95.77,10.09,1,0,427.46,24.98,0,1,2127.75,0,18,3,1,0,-0.2714,1,0,0,0,0,0,0,1,0,0,1,0,0,98
3164.63,3283.5,37,0.074,4,0,7,0,104.57,95.87,8.7,1,1,-118.87,-3.62,1,0,1989.23,1,5,3,0,0,-0.3616,1,0,0,0,0,0,0,1,0,1,0,0,0,81
1582.68,1737.56,2,0.004,2,0,7,1,101.0,95.25,5.75,1,1,-154.88,-8.91,1,0,2411.71,0,11,3,1,0,-0.6668,0,1,0,0,0,0,0,1,0,1,0,0,0,108
4186.16,4203.77,363,0.726,1,0,8,0,101.14,95.76,5.38,0,0,-17.61,-0.42,1,0,2296.98,1,18,3,1,0,-0.2364,1,0,0,0,0,0,0,1,0,0,0,0,1,66
309.76,361.96,84,0.168,4,0,8,0,96.14,94.62,1.52,1,0,-52.2,-14.42,1,0,2665.71,0,10,3,1,0,-0.8672,0,1,0,0,0,0,0,1,0,0,1,0,0,119
931.18,1081.63,165,0.33,6,1,8,0,97.29,95.52,1.77,0,0,-150.45,-13.91,1,0,2654.7,0,11,3,1,0,0.0042,0,0,1,0,0,0,0,1,0,0,0,1,0,120
3028.96,3242.92,36,0.072,1,0,9,0,96.71,96.39,0.32,1,1,-213.96,-6.6,1,0,2593.13,1,11,3,1,0,-0.0925,0,0,0,1,0,1,0,0,0,1,0,0,0,95
1612.21,1879.01,21,0.042,4,0,9,0,98.14,96.34,1.8,1,1,-266.8,-14.2,1,0,2231.8,0,19,3,1,0,-0.4951,0,1,0,0,0,1,0,0,0,1,0,0,0,117
904.03,789.75,469,0.938,2,0,10,0,100.86,97.03,3.83,0,0,114.28,14.47,0,0,2255.76,0,2,4,0,0,0.5448,0,0,1,0,0,1,0,0,0,0,0,0,1,89
4323.37,3976.79,72,0.144,3,0,10,0,102.0,96.83,5.17,1,0,346.58,8.72,0,0,1899.51,1,3,4,0,0,-0.0119,0,0,0,1,0,1,0,0,0,0,1,0,0,85
1904.92,1711.04,354,0.708,0,0,11,0,98.71,96.87,1.84,0,0,193.88,11.33,0,0,2219.4,0,1,4,0,0,-0.1472,0,0,0,0,1,1,0,0,0,0,0,0,1,92
4564.24,4030.4,196,0.392,2,0,11,1,102.43,97.07,5.36,0,0,533.84,13.25,0,0,1863.3,1,23,4,0,0,-0.1401,0,1,0,0,0,1,0,0,0,0,0,1,0,74
2472.04,2953.87,219,0.438,1,0,11,0,96.0,95.83,0.17,0,0,-481.83,-16.31,1,0,2387.36,1,14,4,0,1,-0.2948,0,0,0,1,0,1,0,0,0,0,0,1,0,84
1214.78,1086.74,487,0.974,4,0,12,1,90.86,96.43,-5.57,0,0,128.04,11.78,0,0,2654.83,0,15,4,0,0,-0.2107,0,0,0,1,0,0,0,0,1,0,0,0,1,93
1558.83,1438.26,195,0.39,0,0,12,0,90.57,96.43,-5.86,0,0,120.57,8.38,0,0,2346.8,0,7,4,0,0,0.1139,0,0,0,1,0,0,0,0,1,0,0,1,0,96
3306.09,3755.3,184,0.368,6,1,12,0,87.57,96.13,-8.56,0,0,-449.21,-11.96,1,0,2283.84,1,19,4,1,0,-0.0836,0,0,0,1,0,0,0,0,1,0,0,1,0,87
1421.05,1497.86,122,0.244,0,0,12,0,87.29,95.6,-8.31,1,0,-76.81,-5.13,1,0,2707.49,0,16,4,0,0,-0.3427,0,0,1,0,0,0,0,0,1,0,1,0,0,104
3159.64,3629.86,336,0.672,5,1,12,0,90.0,96.9,-6.9,0,0,-470.22,-12.95,1,0,2353.35,1,2,4,0,1,-0.1886,0,1,0,0,0,0,0,0,1,0,0,0,1,80
4520.96,5233.3,149,0.298,1,0,1,0,88.29,96.67,-8.38,0,0,-712.34,-13.61,1,0,2627.47,1,9,1,0,0,-0.087,1,0,0,0,0,0,0,0,1,0,0,1,0,77
4847.88,5708.24,79,0.158,6,1,1,0,88.71,97.17,-8.46,1,0,-860.36,-15.07,1,0,2799.31,1,16,1,0,0,0.3592,0,0,1,0,0,0,0,0,1,0,1,0,0,79
1229.16,1300.03,43,0.086,1,0,1,0,88.0,95.6,-7.6,1,1,-70.87,-5.45,1,0,3192.79,0,23,1,0,0,-0.3392,0,0,0,1,0,0,0,0,1,1,0,0,0,99
4742.07,5433.18,463,0.926,4,0,1,0,88.86,96.17,-7.31,0,0,-691.11,-12.72,1,0,3223.26,1,13,1,1,0,-0.1237,1,0,0,0,0,0,0,0,1,0,0,0,1,64
1284.31,1321.64,22,0.044,4,0,1,0,84.29,94.8,-10.51,1,1,-37.33,-2.82,1,0,3793.97,0,23,1,0,0,-0.6429,1,0,0,0,0,0,0,0,1,1,0,0,0,94
1867.36,1693.0,413,0.826,3,0,1,0,85.29,94.73,-9.44,0,0,174.36,10.3,0,0,3446.3,0,23,1,0,0,-0.4921,0,0,0,0,1,0,0,0,1,0,0,0,1,73
1582.63,1289.55,73,0.146,6,1,1,0,80.86,93.6,-12.74,1,0,293.08,22.73,0,1,3474.18,0,14,1,0,1,-3.8631,1,0,0,0,0,0,0,0,1,0,1,0,0,116
839.16,878.17,320,0.64,4,0,2,0,86.0,93.93,-7.93,0,0,-39.01,-4.44,1,0,3139.85,0,14,1,0,0,-0.0367,0,0,1,0,0,0,0,0,1,0,0,0,1,118
1957.16,1761.37,454,0.908,2,0,2,0,91.86,94.3,-2.44,0,0,195.79,11.12,0,0,2517.69,0,22,1,0,0,-0.2354,0,0,1,0,0,0,0,0,1,0,0,0,1,81
4753.61,4584.66,462,0.924,3,0,2,1,92.14,93.63,-1.49,0,0,168.95,3.69,0,0,1953.85,1,4,1,0,0,-0.0864,0,0,1,0,0,0,0,0,1,0,0,0,1,71
2838.0,2549.18,17,0.034,3,0,2,0,88.14,92.3,-4.16,1,1,288.82,11.33,0,0,2423.08,1,6,1,0,0,-0.6641,0,0,0,1,0,0,0,0,1,1,0,0,0,90
2701.38,3186.59,178,0.356,2,0,1,0,107.0,107.0,0.0,0,0,-485.21,-15.23,1,0,1300.96,1,9,1,0,0,-0.3145,0,0,0,1,0,0,0,0,1,0,0,1,0,71
1700.61,1814.51,290,0.58,2,0,2,0,89.0,89.0,0.0,0,0,-113.9,-6.28,1,0,2243.78,0,1,1,0,0,-0.9885,0,0,1,0,0,0,0,0,1,0,0,0,1,97
4468.65,4464.06,171,0.342,4,0,2,0,91.67,91.67,0.0,0,0,4.59,0.1,0,0,2100.69,1,23,1,0,0,-0.1963,0,0,1,0,0,0,0,0,1,0,0,1,0,66
3925.79,4197.3,5,0.01,6,1,2,0,85.25,85.25,0.0,1,1,-271.51,-6.47,1,0,2691.53,1,2,1,0,0,-4.9889,1,0,0,0,0,0,0,0,1,1,0,0,0,106
4224.79,3825.74,423,0.846,4,0,2,0,89.4,89.4,0.0,0,0,399.05,10.43,0,0,2992.68,1,9,1,0,0,-3.3444,0,0,1,0,0,0,0,0,1,0,0,0,1,79
993.85,846.2,273,0.546,1,0,2,0,87.67,87.67,0.0,0,0,147.65,17.45,0,0,3131.53,0,21,1,1,0,-0.5628,1,0,0,0,0,0,0,0,1,0,0,0,1,113
314.21,359.15,434,0.868,4,0,3,0,91.29,91.29,0.0,0,0,-44.94,-12.51,1,0,2805.05,0,18,1,1,0,0.1682,0,0,0,1,0,0,1,0,0,0,0,0,1,100
4135.8,3432.17,497,0.994,6,1,3,0,90.29,92.38,-2.09,0,0,703.63,20.5,0,1,2670.51,1,20,1,1,0,-0.0082,0,0,0,1,0,0,1,0,0,0,0,0,1,90
331.92,295.09,115,0.23,0,0,3,0,93.0,92.11,0.89,1,0,36.83,12.48,0,0,2705.59,0,15,1,0,0,-0.1812,0,0,0,0,1,0,1,0,0,0,1,0,0,105
3390.24,2831.17,484,0.968,0,0,3,0,94.14,93.4,0.74,0,0,559.07,19.75,0,0,2488.53,1,2,1,0,0,-0.0393,0,0,1,0,0,0,1,0,0,0,0,0,1,67
4549.91,4991.99,465,0.93,5,1,4,0,94.29,91.0,3.29,0,0,-442.08,-8.86,1,0,2255.26,1,1,2,0,0,1.0036,0,1,0,0,0,0,1,0,0,0,0,0,1,90
1273.53,1393.55,55,0.11,6,1,4,0,92.0,90.92,1.08,1,0,-120.02,-8.61,1,0,2368.79,0,2,2,0,0,-0.5246,0,0,1,0,0,0,1,0,0,0,1,0,0,124
3732.25,3283.11,71,0.142,0,0,4,0,98.43,93.46,4.97,1,0,449.14,13.68,0,0,2021.33,1,10,2,1,0,-0.117,1,0,0,0,0,0,1,0,0,0,1,0,0,96
86.19,93.93,327,0.654,1,0,5,0,96.0,93.64,2.36,0,0,-7.74,-8.24,1,0,2369.46,0,18,2,1,0,-0.2346,0,1,0,0,0,0,1,0,0,0,0,0,1,118
1177.66,947.78,450,0.9,2,0,5,0,98.57,95.27,3.3,0,0,229.88,24.25,0,1,2331.57,0,15,2,0,0,-0.0174,0,0,0,1,0,0,1,0,0,0,0,0,1,92
2675.53,2976.1,466,0.932,5,1,5,0,98.86,95.06,3.8,0,0,-300.57,-10.1,1,0,1976.66,1,2,2,0,0,-0.0513,0,1,0,0,0,0,1,0,0,0,0,0,1,86
769.84,865.5,135,0.27,0,0,5,0,96.14,94.53,1.61,0,0,-95.66,-11.05,1,0,2359.66,0,17,2,0,0,-0.4734,1,0,0,0,0,0,1,0,0,0,0,1,0,115
126.72,136.79,465,0.93,3,0,5,0,103.0,95.67,7.33,0,0,-10.07,-7.36,1,0,2078.85,0,5,2,0,0,0.0104,0,0,0,1,0,0,1,0,0,0,0,0,1,114
130.11,123.48,208,0.416,5,1,6,0,106.43,96.63,9.8,0,0,6.63,5.37,0,0,1385.25,0,13,2,1,0,10.0,0,0,0,0,1,0,0,1,0,0,0,1,0,151
3558.84,3261.57,122,0.244,4,0,6,0,110.29,99.35,10.94,1,0,297.27,9.11,0,0,1203.81,1,20,2,1,0,-0.0181,1,0,0,0,0,0,0,1,0,0,1,0,0,79
1659.48,1895.07,478,0.956,5,1,6,0,107.86,98.38,9.48,0,0,-235.59,-12.43,1,0,1200.74,1,14,2,0,0,-0.2372,0,0,1,0,0,0,0,1,0,0,0,0,1,89
3518.33,3598.45,27,0.054,5,1,7,1,103.71,97.95,5.76,1,1,-80.12,-2.23,1,0,1458.04,1,10,3,1,0,-0.1103,0,0,1,0,0,0,0,1,0,1,0,0,0,78
1901.82,1527.6,458,0.916,0,0,7,1,101.71,97.09,4.62,0,0,374.22,24.5,0,1,1836.71,0,9,3,0,0,-0.5023,0,0,0,0,1,0,0,1,0,0,0,0,1,96
981.99,977.21,319,0.638,3,0,7,0,103.14,97.04,6.1,0,0,4.78,0.49,0,0,1629.78,0,19,3,1,0,0.3015,0,0,1,0,0,0,0,1,0,0,0,0,1,82
1784.07,1720.41,225,0.45,3,0,7,0,98.43,96.44,1.99,0,0,63.66,3.7,0,0,1645.74,1,16,3,0,0,0.3733,0,0,0,0,1,0,0,1,0,0,0,1,0,107
152.78,160.8,414,0.828,5,1,8,0,97.43,96.85,0.58,0,0,-8.02,-4.99,1,0,1871.97,0,14,3,0,0,-0.0409,0,1,0,0,0,0,0,1,0,0,0,0,1,111
3053.96,3540.93,489,0.978,6,1,8,0,91.71,97.37,-5.66,0,0,-486.97,-13.75,1,0,1877.3,1,4,3,0,0,-0.0114,0,0,1,0,0,0,0,1,0,0,0,0,1,87
4865.71,4209.02,104,0.208,0,0,9,0,92.86,97.0,-4.14,1,0,656.69,15.6,0,0,1917.21,1,4,3,0,0,-0.2325,1,0,0,0,0,1,0,0,0,0,1,0,0,75
708.11,685.16,220,0.44,3,0,9,0,90.86,96.24,-5.38,0,0,22.95,3.35,0,0,2247.77,0,1,3,0,0,-0.4681,0,0,0,1,0,1,0,0,0,0,0,1,0,105
3072.16,2533.54,236,0.472,2,0,10,0,94.71,96.53,-1.82,0,0,538.62,21.26,0,1,1831.59,1,8,4,0,0,-0.0713,0,0,0,0,1,1,0,0,0,0,0,1,0,80
1345.63,1336.85,167,0.334,0,0,10,0,92.43,95.63,-3.2,0,0,8.78,0.66,0,0,1975.3,0,2,4,0,0,-0.7118,0,0,0,0,1,1,0,0,0,0,0,1,0,112
1690.45,2011.06,320,0.64,3,0,11,0,96.71,97.0,-0.29,0,0,-320.61,-15.94,1,0,2026.67,0,2,4,0,0,-0.0697,0,0,0,0,1,1,0,0,0,0,0,0,1,110
1456.25,1187.24,422,0.844,2,0,11,0,97.14,97.43,-0.29,0,0,269.01,22.66,0,1,2068.19,0,10,4,1,0,-0.1969,1,0,0,0,0,1,0,0,0,0,0,0,1,113
4764.14,5080.2,386,0.772,6,1,12,0,97.43,99.0,-1.57,0,0,-316.06,-6.22,1,0,2214.83,1,20,4,1,0,-0.1558,0,0,0,0,1,0,0,0,1,0,0,0,1,73
4045.44,3632.04,488,0.976,5,1,12,1,95.43,97.9,-2.47,0,0,413.4,11.38,0,0,2434.72,1,18,4,1,0,-0.2724,0,0,0,1,0,0,0,0,1,0,0,0,1,76
1442.33,1691.39,246,0.492,6,1,12,0,95.57,97.8,-2.23,0,0,-249.06,-14.73,1,0,2352.3,0,20,4,1,0,-0.4703,1,0,0,0,0,0,0,0,1,0,0,1,0,99
4532.46,4007.99,318,0.636,2,0,12,0,94.71,97.33,-2.62,0,0,524.47,13.09,0,0,2496.05,1,2,4,0,0,-0.1037,0,0,0,0,1,0,0,0,1,0,0,0,1,77
3152.23,2550.74,307,0.614,6,1,12,0,94.29,96.57,-2.28,0,0,601.49,23.58,0,1,2706.68,0,19,4,1,1,-0.5118,1,0,0,0,0,0,0,0,1,0,0,0,1,89
